USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.1 194048  7228 ?        Ss   May10   0:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root       735  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-buf/dm-4]
root       736  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-buf/dm-6]
root       737  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-data/dm-4]
root       738  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-data/dm-6]
root       739  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-conv/dm-4]
root       740  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-conv/dm-6]
root       741  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-cil/dm-4]
root       742  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-cil/dm-6]
root       743  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-reclaim/dm-]
root       744  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-reclaim/dm-]
root       745  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-log/dm-6]
root       746  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-log/dm-4]
root       747  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-eofblocks/d]
root       748  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-eofblocks/d]
root       749  0.0  0.0      0     0 ?        S    May10   0:15 [xfsaild/dm-6]
root       750  0.0  0.0      0     0 ?        S    May10   0:00 [xfsaild/dm-4]
root       755  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-buf/dm-5]
root       756  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-data/dm-5]
root       757  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-conv/dm-5]
root       758  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-cil/dm-5]
root       759  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-reclaim/dm-]
root       760  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-log/dm-5]
root       761  0.0  0.0      0     0 ?        S<   May10   0:00 [xfs-eofblocks/d]
root       762  0.0  0.0      0     0 ?        S    May10   0:23 [xfsaild/dm-5]
root       777  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/4:1H]
root       793  0.0  0.0  55508  1068 ?        S<sl May10   0:03 /sbin/auditd
root       795  0.0  0.0  84552  1016 ?        S<sl May10   0:03 /sbin/audispd
root       796  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/7:1H]
root       798  0.0  0.0  55600  1660 ?        S<   May10   0:02 /usr/sbin/sedispatch
root       817  0.0  0.0      0     0 ?        S<   May10   0:00 [kworker/6:1H]
polkitd    821  0.0  0.3 551888 13540 ?        Ssl  May10   0:04 /usr/lib/polkit-1/polkitd --no-debug
root       823  0.0  0.0  24496  2216 ?        Ss   May10   0:00 /usr/sbin/smartd -n -q never
